product_id,review_score,count(review_id)
422879e10f46682990de24d770e7f83d,5,482
389d119b48cf3043d311335e499d9c6b,5,394
aca2eb7d00ea1a7b8ebd4e68314663af,5,366
368c6c730842d78016ad823897a372db,5,359
53759a2ecddad2bb87a079a1f1519f73,5,340
99a4788cb24856965c36a24e339b6058,5,289
d1c427060a0f73f6b889a5c7c61f2ac4,5,231
37eb69aca8718e843d897aa7b82f462d,5,225
89b190a046022486c635022524a974a8,5,225
b532349fe46b38fbc7bb3914c1bdae07,5,220
53b36df67ebb7c41585e8d54d6772e08,5,219
154e7e31ebfa092203795c972e5804a6,5,212
9ecadb84c81da840dbf3564378b586e9,5,182
3dd2a17168ec895c781a9191c1e95ad7,5,179
a62e25e09e05e6faf31d90c6ec1aa3d1,5,175
2b4609f8948be18874494203496bc318,5,158
03e1c946c0ddfc58724ff262aef08dff,5,146
bb50f2e236e5eea0100680137654686c,5,135
7c1bd920dbdf22470b68bde975dd3ccf,5,131
d5991653e037ccb7af6ed7d94246b249,5,129
dbb67791e405873b259e4656bf971246,5,126
b0961721fd839e9982420e807758a2a6,5,125
437c05a395e9e47f9762e677a7068ce7,5,119
42a2c92a0979a949ca4ea89ec5c7b934,5,119
e0cf79767c5b016251fe139915c59a26,5,118
35afc973633aaeb6b877ff57b2793310,5,116
656e0eca68dcecf6a31b8ececfabe3e8,5,113
6cdd53843498f92890544667809f1595,5,112
e53e557d5a159f5aa2c5e995dfdf244b,5,112
0bcc3eeca39e1064258aa1e932269894,5,111
0c9439abe84dc40a64fc164365c4d064,5,101
2028bf1b01cafb2d2b1901fca4083222,5,99
f1c7f353075ce59d8a6f3cf58f419c9c,5,96
928e52a9ad53a294fdcc91bcf59d1751,5,96
c4baedd846ed09b85f78a781b522f126,5,94
e0d64dcfaa3b6db5c54ca298ae101d05,5,93
0aabfb375647d9738ad0f7b4ea3653b1,5,93
d3c044bd42d84a79e3b0c42662806a48,5,91
3fbc0ef745950c7932d5f2a446189725,5,89
eb8c629f70275fd1c4f809116cce1efc,5,89
a6ad77b15e566298a4e8ee2011ab1255,5,89
d2085f7e0f9533605386960fc7e987ec,5,88
06edb72f1e0c64b14c5b79353f7abea3,5,88
8c591ab0ca519558779df02023177f44,5,87
19c91ef95d509ea33eda93495c4d3481,5,86
595fac2a385ac33a80bd5114aec74eb8,5,86
7a10781637204d8d10485c71a6108a2e,5,84
52c80cedd4e90108bf4fa6a206ef6b03,5,84
ec2d43cc59763ec91694573b31f1c29a,5,80
461f43be3bdf8844e65b62d9ac2c7a5a,5,80
880be32f4db1d9f6e2bec38fb6ac23ab,5,80
d017a2151d543a9885604dc62a3d9dcc,5,80
634256dbcd184b3757ffd7632c9fe52a,5,80
a19b6951c75da43aad691622dd2f6abe,5,80
363218ba55c610b750224f90bdd34be1,5,79
143c616ec3fe0cb065c3805cf9bd812e,5,78
08574b074924071f4e201e151b152b4e,5,76
601a360bd2a916ecef0e88de72a6531a,5,75
36f60d45225e60c7da4558b070ce4b60,5,72
5a6e53c3b4e8684b13388d6aa4afdf12,5,72
54d9ac713e253fa1fae9c8003b011c2a,5,72
ee0c1cf2fbeae95205b4aa506f1469f0,5,71
a92930c327948861c015c919a0bcb4a8,5,71
c6dd917a0be2a704582055949915ab32,5,71
4fcb3d9a5f4871e8362dfedbdb02b064,5,70
6f3b5b605d91b7439c5e3f5a8dffeea7,5,70
78efe838c04bbc568be034082200ac20,5,68
3eef0cb94ba82de806bb30ab743c7655,5,67
617186c3d97ea56c9c683a8a3974e8c1,5,66
f7f59e6186e10983a061ac7bdb3494d6,5,66
19421075ae0b585f2dc13ff149e2119d,5,66
7ce94ab189134e2d3c05f496d635419c,5,65
89321f94e35fc6d7903d36f74e351d40,5,65
2136c70bbe723d338fab53da3c03e6dc,5,63
d285360f29ac7fd97640bf0baef03de0,5,63
44a34214a57dc373dcd80f54c919d006,5,62
a0d20b18f2a06b34206ba5933b4ec05b,5,62
29427de7f8a9ee983d9dbc51cec569b4,5,61
6ee7217ab647f3c2b4a5161c75cadab3,5,61
ab1f9387c0627dd24000bfbc54fdeee0,5,60
473795a355d29305c3ea6b156833adf5,5,60
75d6b6963340c6063f7f4cfcccfe6a30,5,60
cd48f265a63e13b762601f5f794c5fca,5,59
e44f675b60b3a3a2453ec36421e06f0f,5,59
ee406bf28024d97771c4b1e8b7e8e219,5,59
3f14d740544f37ece8a9e7bc8349797e,5,58
0e839be47c2dc028ca3d90e65732b14c,5,58
5a3320037d5922a7708647c81ecc1f15,5,57
c6336fa91fbd87c359e44f5dca5a90ed,5,57
4c2394abfbac7ff59ec7a420918562fa,5,57
fbc1488c1a1e72ba175f53ab29a248e8,5,57
0a57f7d2c983bcf8188589a5fea4a8da,5,56
777d2e438a1b645f3aec9bd57e92672c,5,55
5411e9269501a870cabf632f05655131,5,55
165f86fe8b799a708a20ee4ba125c289,5,54
d04857e7b4b708ee8b8b9921163edba3,5,54
216bb0e0cd43ffd832e0973d35e0377e,5,54
0d85c435fd60b277ffb9e9b0f88f927a,5,54
8c292ca193d326152e335d77176746f0,5,54
a50acd33ba7a8da8e9db65094fa990a4,5,54
67bd616e1ba0d3d3e8545f3113b0140d,5,54
11875b30b49585209e608f40e8082e65,5,54
c9c6fde711572c1ad99ca12728c6af00,5,52
e03102efbc2229024c89be731f0aedcb,5,52
6a8631b72a2f8729b91514db87e771c0,5,52
bee2e070c39f3dd2f6883a17a5f0da45,5,51
0a4f9f421af66d2ea061fbb8883419f7,5,51
98224bfc1eaadb3a394ec334c60453ff,5,51
f3720bc68555b1bff49b9ffd41b017ac,5,50
f4f67ccaece962d013a4e1d7dc3a61f7,5,50
cac9e5692471a0700418aa3400b9b2b1,5,50
d696750e550fd0f733979dd7e5dff921,5,50
629e019a6f298a83aeecc7877964f935,5,49
24c66f106f642621e524291a895c9032,5,49
73326828aa5efe1ba096223de496f596,5,49
781afe929e3016a667f5f439afd55fce,5,49
06c6e01186af8b98ee1fc9e01f9471e9,5,48
25f86162fee18735fffdb762dcb10d7c,5,48
f40876e0ef3cd5f9132b1f16b04b1346,5,48
16679d68bdbed3fb97af806424d7f2b7,5,48
