order_item_id,count(order_id),sum(total_price),Year
6,12,980.04,2016
5,17,987.2300000000005,2016
4,29,2390.879999999999,2016
3,44,3266.7899999999986,2016
1,368,56941.91000000002,2016
2,94,9443.609999999995,2016
12,97,5918.0800000000045,2017
1,49941,7025683.609999639,2017
2,10531,1088070.6500000006,2017
3,3852,375859.46000000247,2017
4,2072,207590.22000000064,2017
5,1054,105472.40000000001,2017
21,21,301.77000000000004,2017
20,41,2453.6900000000005,2017
6,647,68454.92000000006,2017
7,251,37987.24999999996,2017
8,202,32409.1,2017
19,41,2453.6900000000005,2017
18,41,2453.6900000000005,2017
17,41,2453.6900000000005,2017
9,162,15065.479999999974,2017
10,144,12966.099999999991,2017
11,108,6730.760000000006,2017
16,41,2453.6900000000005,2017
13,85,5476.360000000004,2017
14,85,5476.360000000004,2017
15,71,4462.34,2017
1,60714,8570599.799999805,2018
10,168,15358.720000000025,2018
9,177,16503.800000000025,2018
8,201,17808.66000000003,2018
7,306,25334.959999999992,2018
6,1074,99156.94000000034,2018
11,128,11123.150000000012,2018
12,95,6477.640000000003,2018
13,47,3217.1199999999976,2018
5,1659,153176.82999999978,2018
4,2631,245837.8400000004,2018
14,34,2731.1799999999985,2018
3,4742,454404.10999999987,2018
2,12841,1326128.8300000224,2018
15,20,2202.399999999999,2018
16,20,2202.399999999999,2018
17,20,2202.399999999999,2018
18,20,2202.399999999999,2018
19,20,2202.399999999999,2018
20,20,2202.399999999999,2018
