order_item_id,sum(payment_value)
1,15599839.099543788
2,2405559.3480380774
3,834426.4191814065
4,451040.3091402054
5,256990.94934940338
6,167780.97942066193
7,65515.53977775574
8,52063.51963806152
9,33624.13000488281
10,30347.420043945312
11,16847.740112304688
12,12416.169982910156
13,8698.70002746582
14,8212.760025024414
15,6669.959976196289
16,4661.309951782227
17,4661.309951782227
18,4661.309951782227
19,4661.309951782227
20,4661.309951782227
21,196.11000061035156
