"review_score";"Year"
5;2017
5;2018
5;2017
5;2018
5;2017
5;2018
5;2018
5;2017
5;2017
5;2018
5;2017
5;2018
5;2017
5;2018
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2017
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2017
5;2017
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2017
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2016
5;2016
5;2016
5;2016
5;2016
5;2016
5;2016
5;2016
5;2016
5;2016
5;2016
5;2016
5;2016
5;2016
5;2016
5;2016
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2017
5;2017
5;2017
5;2017
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2017
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2017
5;2018
5;2017
5;2017
5;2018
5;2017
5;2018
5;2017
5;2017
5;2018
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2017
5;2018
5;2018
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2017
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2017
5;2018
5;2017
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2017
5;2018
5;2018
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2017
5;2018
5;2017
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2017
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2017
5;2018
5;2018
5;2017
5;2018
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2017
5;2017
5;2018
5;2017
5;2017
5;2017
5;2018
5;2017
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2017
5;2017
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2017
5;2017
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2018
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2017
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2017
5;2018
5;2018
5;2018
5;2017
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2017
5;2017
5;2018
5;2017
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2017
5;2018
5;2018
5;2017
5;2018
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2017
5;2017
5;2018
5;2017
5;2018
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2018
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2017
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2018
5;2017
5;2018
5;2018
5;2017
5;2018
5;2017
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2017
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2017
5;2017
5;2018
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2017
5;2018
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2017
5;2017
5;2018
5;2018
5;2017
5;2018
5;2018
5;2017
5;2017
5;2018
5;2017
5;2017
5;2018
5;2017
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2017
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2017
5;2017
5;2018
5;2017
5;2018
5;2017
5;2018
5;2018
5;2017
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2017
5;2018
5;2017
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2017
5;2017
5;2018
5;2017
5;2017
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2017
5;2018
5;2018
5;2017
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2017
5;2018
5;2018
5;2017
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2017
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2017
5;2017
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2017
5;2018
5;2018
5;2018
5;2017
5;2018
5;2017
5;2018
5;2017
5;2017
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2017
5;2018
5;2017
5;2017
5;2018
5;2018
5;2017
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2017
5;2018
5;2018
5;2017
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2017
5;2018
5;2018
5;2018
5;2017
5;2017
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2017
5;2017
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2017
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2017
5;2018
5;2018
5;2017
5;2017
5;2018
5;2017
5;2017
5;2018
5;2018
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2017
5;2018
5;2018
5;2017
5;2018
5;2018
5;2018
5;2018
5;2017
5;2017
5;2018
